Acer.campestre,Aesculus,Ambrosia,Anthemis,Apiaceae.cf.Daucus,Apiaceae.cf.Heracleum,Artemisia,Aster,Berberis.vulgaris,Broken,Bupleurum,Butomus.umbellatus,Caltha,Campanula,Castanea,Cedrus,Centaurea.cyanus,Centaurea.nigra,Centaurea.scabiosa,Centaurium,Cereal,Chenopodium,Chrysosplenium,Cichorium.intybus,Cornus.sanguinea,Crumpled,Cyperaceae,Deteriorated,Digitalis.purpurea,Dryopteris.filix.mas,Echium.vulgare,Erica.cinerea,Euphorbia,Fagus.sylvaticus,Fallopia.convolvulus,Filipendula,Frangula.alnus,Galium,Gentianella.campestris,Geranium,Helianthemum,Hidden,Hydrocotyle.vulgaris,Hypericum,Ilex,Larix,Ligustrum,Lithospermum,Lonicera,Lotus,Lythrum.salicaria,Medicago.sativa,Melampyrum,Myosotis,Myriophyllum,Myrtus,Papaver.rhoeas,Pedicularis.palustris,Pentaglottis,Pinguicula,Pinus.sylvestris,Plantago.lanceolata,Plantago.major,Platanus,Poaceae,Polygonatum,Potentilla,Primula.farinosa,Prunella,Prunus,Quercus,Ranunculus,Reseda.lutea,Rhamnus,Rhinanthus,Rhododendron.ponticum,Robinia,Rosaceae.crategus.sorbus,Rosaceae.Malus,Rosaceae.rubus.malus,Rumex.acetosa,Rumex.obtusifolius,Salix,Sambucas.nigra,Sanguisorba.officinalis,Scabiosa,Scilla,Scutellaria,Sedum,OSR,Solanum.nigrum,Spergula,Stachys.sylvatica,Succisa,Symphytum,Taxus,Teucrium,Thalictrum,Tilia,Trifolium.cf.pratense,Trifolium.cf.repens,Unidentifiable,Urtica,Veronica,FieldBeans,Viola.canina.riviniana
7,2,0,0,1,3,2,0,2,2,0,0,0,0,0,0,120,8,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,0,0,0,144,8,0,0,0,1,0,1,2,0,0,0,0,0,0,12,0,0,0,0,0,33,9,27,6,0,0,0,0,0,0,0,3,271,0,6,2,0,0,0,30,1,0,31,39,6,0,2,132,2
21,23,0,1,9,7,0,0,0,10,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,5,0,2,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,46,6,0,0,1,1,1,0,4,0,0,0,0,2,0,5,0,0,0,1,0,9,0,212,3,3,0,0,0,0,0,0,22,155,4,6,0,0,0,0,9,0,0,37,146,16,3,2,82,0
14,8,0,0,10,22,0,0,0,0,0,0,0,1,1,0,25,1,0,3,1,0,0,0,47,4,0,3,0,0,0,1,0,2,0,52,2,1,5,0,1,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,20,3,0,0,0,0,0,3,4,0,1,0,0,0,3,20,0,0,1,0,0,20,9,23,13,0,0,0,0,0,0,0,18,219,0,4,0,0,0,0,6,0,0,62,124,0,0,0,164,1
1,0,0,0,19,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,12,0,0,0,0,0,0,0,3,0,24,0,0,0,0,10,9,0,0,1,0,0,0,0,1,1,2,0,0,0,0,108,4,0,0,1,0,4,0,3,0,0,0,1,0,1,13,0,0,6,0,0,85,0,17,10,0,0,0,0,0,0,0,0,219,0,4,0,0,8,0,3,1,0,0,62,8,0,5,207,2
7,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,31,0,0,0,0,7,0,0,0,0,2,0,0,2,0,0,0,0,1,0,25,0,0,8,1,0,62,1,31,0,3,0,0,0,0,0,0,9,307,3,6,0,0,3,0,3,0,0,24,128,1,1,7,237,1
5,6,0,0,4,2,3,0,0,12,0,0,0,0,0,3,25,1,0,0,6,1,0,0,0,7,0,8,0,0,0,0,0,0,0,13,1,0,0,0,0,4,0,0,7,0,1,0,0,3,8,1,0,0,0,0,8,5,0,0,2,1,1,0,26,0,3,0,0,0,1,1,0,0,0,0,0,0,0,24,1,3,1,0,1,0,0,0,3,240,0,1,0,0,0,51,8,0,1,5,10,12,2,0,357,0
6,10,0,0,1,1,1,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0,1,6,0,1,0,0,1,0,0,0,0,71,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,12,0,0,1,0,69,2,0,0,0,2,0,0,2,0,1,0,0,25,0,36,0,0,0,2,1,17,1,39,5,0,0,0,0,0,0,0,25,343,8,1,0,0,0,0,5,0,0,22,95,3,0,1,102,0
7,11,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,50,7,0,0,0,0,2,0,0,0,0,4,0,2,1,0,5,0,0,0,0,28,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,2,2,129,12,2,0,0,0,0,0,0,18,187,11,5,0,0,3,0,4,0,0,28,203,13,0,2,77,0
11,22,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,5,0,0,42,4,31,0,0,1,0,0,0,0,0,0,467,2,1,0,0,0,0,0,0,0,33,164,5,0,0,89,0
0,6,0,0,0,3,5,0,1,10,0,0,0,0,0,0,3,3,0,0,12,0,0,2,3,6,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,7,0,0,0,1,0,0,0,0,65,7,0,0,0,0,3,1,0,0,5,0,0,1,4,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,19,297,0,1,0,0,0,0,4,1,1,6,33,3,0,1,215,0
3,2,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,28,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,23,0,0,0,0,2,2,0,2,41,1,0,0,0,0,23,2,0,0,0,0,0,0,4,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,211,0,0,0,1,0,0,0,0,0,1,2,27,0,0,243,0
0,1,0,0,5,1,0,0,0,6,0,0,0,0,1,0,0,30,0,0,0,0,0,0,2,3,3,0,0,0,1,0,0,0,0,23,1,1,0,0,1,5,21,0,0,0,0,0,0,5,0,0,0,0,0,0,12,2,0,0,0,12,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,16,39,1,0,0,1,0,0,0,0,21,358,0,0,0,0,2,0,2,4,0,21,6,2,0,8,208,0
8,3,0,0,2,1,1,0,2,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,1,52,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,48,3,0,0,0,0,0,0,3,0,2,0,0,22,0,58,1,0,0,0,0,8,5,102,5,7,0,0,0,0,0,0,16,247,7,2,0,0,0,0,1,0,0,56,70,5,0,0,135,0
